id,name,category,auth_methods,self_serve,api_style,api_breadth,existing_mcp,openapi_spec_available,webhooks,in_composio_already,verdict,main_blocker,difficulty_1_to_5
square,Square,unknown,unknown,trial_self_serve,unknown,unknown,none,,,False,unknown,unknown,4
etsy,Etsy,unknown,api_key,unknown,rest,unknown,none,True,,False,unknown,unknown,4
wordpress,WordPress,unknown,unknown,unknown,rest,unknown,none,,,False,unknown,unknown,4
pagerduty,PagerDuty,unknown,unknown,unknown,unknown,unknown,none,,,False,unknown,unknown,4
asana,Asana,unknown,oauth2,free_self_serve,rest,unknown,none,True,True,True,unknown,unknown,2
datadog,Datadog,unknown,api_key,unknown,rest,unknown,none,,,False,unknown,unknown,4
gitlab,GitLab,unknown,unknown,free_self_serve,rest,unknown,official,True,,False,unknown,unknown,2
printful,Printful,unknown,"api_key,bearer_token",free_self_serve,rest,unknown,none,True,True,False,unknown,unknown,2
trello,Trello,unknown,unknown,free_self_serve,unknown,unknown,none,,,True,unknown,unknown,4
substack,Substack,unknown,unknown,unknown,unknown,unknown,none,,,False,unknown,unknown,4
bigcommerce,BigCommerce,unknown,unknown,unknown,graphql,unknown,none,,,False,unknown,unknown,4
ghost,Ghost,unknown,api_key,free_self_serve,rest,unknown,none,,True,False,unknown,unknown,2
webflow,Webflow,unknown,unknown,unknown,rest,unknown,community,,True,True,unknown,unknown,4
activecampaign,ActiveCampaign,unknown,unknown,unknown,unknown,unknown,none,,,False,unknown,unknown,4
shippo,Shippo,unknown,unknown,free_self_serve,unknown,unknown,none,,True,False,unknown,unknown,4
vercel,Vercel,unknown,"api_key,bearer_token",free_self_serve,rest,unknown,none,,True,False,unknown,unknown,2
clickup,ClickUp,unknown,unknown,free_self_serve,unknown,unknown,none,True,,True,unknown,unknown,4
monday,Monday.com,unknown,oauth2,free_self_serve,graphql,unknown,none,,True,False,unknown,unknown,4
klaviyo,Klaviyo,unknown,api_key,unknown,unknown,unknown,none,True,,True,unknown,unknown,4
render,Render,unknown,unknown,unknown,rest,unknown,none,,,False,unknown,unknown,4
convertkit,ConvertKit,unknown,unknown,unknown,unknown,unknown,none,,,False,unknown,unknown,4
supabase,Supabase,unknown,"oauth2,bearer_token",free_self_serve,unknown,unknown,none,True,,True,unknown,unknown,4
jira,Jira,unknown,unknown,free_self_serve,rest,unknown,none,,True,True,unknown,unknown,4
basecamp,Basecamp,unknown,"oauth2,bearer_token",trial_self_serve,graphql,unknown,none,True,True,False,unknown,unknown,2
lever,Lever,unknown,"oauth2,api_key,bearer_token",free_self_serve,unknown,unknown,none,,True,False,unknown,unknown,4
airtable,Airtable,unknown,unknown,partnership_or_sales_gated,unknown,unknown,none,True,,True,unknown,unknown,4
greenhouse,Greenhouse,unknown,api_key,free_self_serve,unknown,unknown,community,,True,False,unknown,unknown,4
google-drive,Google Drive,unknown,oauth2,unknown,rest,unknown,official,,,True,unknown,unknown,4
dropbox,Dropbox,unknown,oauth2,free_self_serve,unknown,unknown,none,,,True,unknown,unknown,4
workday,Workday,unknown,unknown,unknown,unknown,unknown,none,,,False,unknown,unknown,4
rippling,Rippling,unknown,unknown,unknown,unknown,unknown,none,,,False,unknown,unknown,4
postman,Postman,unknown,"oauth2,api_key",unknown,unknown,unknown,none,True,True,False,unknown,unknown,4
bamboohr,BambooHR,unknown,api_key,unknown,unknown,unknown,none,,,False,unknown,unknown,4
salesforce,Salesforce,unknown,unknown,free_self_serve,unknown,unknown,none,,,True,unknown,unknown,4
shipstation,ShipStation,unknown,unknown,trial_self_serve,unknown,unknown,none,,,False,unknown,unknown,4
box,Box,unknown,oauth2,free_self_serve,unknown,unknown,none,True,True,False,unknown,unknown,4
pipedrive,Pipedrive,unknown,unknown,free_self_serve,unknown,unknown,none,True,,True,unknown,unknown,4
deel,Deel,unknown,bearer_token,unknown,unknown,unknown,none,,True,False,unknown,unknown,4
zoho-crm,Zoho CRM,unknown,unknown,free_self_serve,rest,unknown,none,,,False,unknown,unknown,4
onedrive,OneDrive,unknown,unknown,unknown,unknown,unknown,none,,,False,unknown,unknown,4
evernote,Evernote,unknown,unknown,unknown,unknown,unknown,none,,,False,unknown,unknown,4
close,Close,unknown,unknown,unknown,rest,unknown,none,,True,False,unknown,unknown,4
ashby,Ashby,unknown,api_key,unknown,unknown,unknown,none,,,False,unknown,unknown,4
coda,Coda,unknown,bearer_token,partnership_or_sales_gated,rest,unknown,none,True,True,False,unknown,unknown,4
apollo,Apollo.io,unknown,unknown,paid_required,unknown,unknown,none,,,False,unknown,unknown,4
remote,Remote,unknown,unknown,free_self_serve,unknown,unknown,none,,,False,unknown,unknown,4
hubspot,HubSpot,unknown,unknown,unknown,unknown,unknown,community,,True,True,unknown,unknown,4
confluence,Confluence,unknown,unknown,unknown,graphql,unknown,none,,,False,unknown,unknown,4
workable,Workable,unknown,bearer_token,unknown,unknown,unknown,none,,,False,unknown,unknown,4
lucidchart,Lucidchart,unknown,api_key,unknown,unknown,unknown,none,,,False,unknown,unknown,4
