app,field,agent,gold,root_cause
workday,verdict,unknown,needs_outreach,ambiguous plan tiers
workday,main_blocker,unknown,Requires Workday customer tenant and enterprise partner certification,ambiguous plan tiers
workday,difficulty_1_to_5,4,5,ambiguous plan tiers
sherlock,auth_methods,missing,"[""none""]",wrong entity
sherlock,self_serve,missing,free_self_serve,wrong entity
sherlock,api_style,missing,cli,wrong entity
sherlock,api_breadth,missing,small,wrong entity
sherlock,existing_mcp,missing,community,wrong entity
sherlock,sandbox_available,missing,false,wrong entity
sherlock,openapi_spec_available,missing,false,wrong entity
sherlock,webhooks,missing,false,wrong entity
sherlock,verdict,missing,skill_or_cli_only,wrong entity
sherlock,main_blocker,missing,Local CLI tool without hosted API,wrong entity
sherlock,difficulty_1_to_5,missing,3,wrong entity
amazon-selling-partner,auth_methods,missing,"[""other""]",stale docs
amazon-selling-partner,self_serve,missing,approval_required,ambiguous plan tiers
amazon-selling-partner,api_style,missing,rest,stale docs
amazon-selling-partner,api_breadth,missing,large,JS-rendered page
amazon-selling-partner,existing_mcp,missing,community,JS-rendered page
amazon-selling-partner,sandbox_available,missing,true,ambiguous plan tiers
amazon-selling-partner,openapi_spec_available,missing,true,JS-rendered page
amazon-selling-partner,webhooks,missing,true,JS-rendered page
amazon-selling-partner,verdict,missing,ship_with_setup_friction,ambiguous plan tiers
amazon-selling-partner,main_blocker,missing,AWS Signature V4 dual auth and Amazon Developer Profile vetting,ambiguous plan tiers
amazon-selling-partner,difficulty_1_to_5,missing,5,ambiguous plan tiers
